variable,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Puerto Rico
total_u050_u19_private,"118,574","11,100","129,901","76,135","587,773","69,549","53,996","13,893","14,295","325,740","235,361","16,623","20,446","205,820","120,094","41,186","41,701","115,520","140,224","16,271","85,173","85,132","189,637","63,796","80,397","91,363","14,858","25,352","54,544","11,846","127,536","61,835","363,999","204,956","7,946","229,502","95,492","54,189","219,402","15,367","110,990","14,865","149,486","665,768","44,031","4,677","127,673","101,038","33,877","76,986","8,703","162,114"
with_u050_u19_private,"16,011","1,356","21,626","7,381","119,066","15,762","11,042","2,808","1,363","62,757","49,439","4,904","4,860","33,710","23,237","8,647","10,305","12,812","17,122","2,591","15,179","18,431","33,813","16,191","12,801","12,923","2,272","4,447","15,266","2,386","26,436","8,544","70,312","33,858","2,521","38,174","11,909","13,503","41,326","4,929","20,660","3,370","25,179","105,310","17,606",369,"29,976","22,320","4,211","13,935","2,487","11,063"
no_u050_u19_private,"102,563","9,744","108,275","68,754","468,707","53,787","42,954","11,085","12,932","262,983","185,922","11,719","15,586","172,110","96,857","32,539","31,396","102,708","123,102","13,680","69,994","66,701","155,824","47,605","67,596","78,440","12,586","20,905","39,278","9,460","101,100","53,291","293,687","171,098","5,425","191,328","83,583","40,686","178,076","10,438","90,330","11,495","124,307","560,458","26,425","4,308","97,697","78,718","29,666","63,051","6,216","151,051"
total_u050_1964_private,"204,512","21,800","265,159","124,212","1,369,085","174,111","106,978","27,701","32,149","749,480","402,768","40,920","50,395","427,513","236,749","90,903","90,457","200,296","219,629","39,430","195,876","204,563","378,114","139,467","124,595","187,570","39,446","53,573","113,926","30,126","232,917","99,517","766,741","371,469","21,197","416,827","171,697","166,587","425,059","32,030","203,718","25,979","256,938","1,065,346","89,776","20,371","261,862","253,350","79,322","174,109","18,153","344,985"
with_u050_1964_private,"77,663","4,921","83,644","33,646","428,667","72,857","31,184","10,385","7,976","290,117","155,207","14,933","20,494","145,954","79,815","37,503","37,883","45,935","53,912","11,868","65,163","73,570","110,096","47,425","38,715","64,605","13,108","22,492","36,580","11,112","65,447","21,491","221,728","134,845","8,558","123,913","47,945","49,748","144,947","10,973","76,317","8,034","82,708","377,136","43,366","6,071","98,336","83,986","19,473","67,636","7,566","30,283"
no_u050_1964_private,"126,849","16,879","181,515","90,566","940,418","101,254","75,794","17,316","24,173","459,363","247,561","25,987","29,901","281,559","156,934","53,400","52,574","154,361","165,717","27,562","130,713","130,993","268,018","92,042","85,880","122,965","26,338","31,081","77,346","19,014","167,470","78,026","545,013","236,624","12,639","292,914","123,752","116,839","280,112","21,057","127,401","17,945","174,230","688,210","46,410","14,300","163,526","169,364","59,849","106,473","10,587","314,702"
total_u050_o65_private,"40,102","2,786","69,742","21,202","290,210","34,635","26,909","7,364","6,519","240,220","79,611","13,443","12,714","97,190","47,075","18,065","19,671","34,263","36,670","9,886","47,099","52,886","75,498","37,653","26,602","47,408","7,653","13,714","27,722","9,832","65,809","20,303","202,344","76,236","4,555","84,842","27,336","35,836","101,176","8,297","40,878","4,201","52,226","196,618","14,246","6,165","60,047","51,601","12,984","45,355","3,396","114,588"
with_u050_o65_private,"17,399","1,005","29,034","8,320","93,988","13,418","11,088","3,592","2,761","97,631","31,318","6,728","5,581","38,502","17,883","8,234","10,253","15,127","12,776","4,440","23,995","21,747","39,694","19,976","10,334","19,510","3,185","7,505","10,058","4,670","24,654","6,391","70,479","30,565","2,136","34,055","11,581","14,432","49,012","3,526","20,021","1,909","22,835","72,768","5,824","2,138","31,016","20,824","5,413","20,263","1,636","13,353"
no_u050_o65_private,"22,703","1,781","40,708","12,882","196,222","21,217","15,821","3,772","3,758","142,589","48,293","6,715","7,133","58,688","29,192","9,831","9,418","19,136","23,894","5,446","23,104","31,139","35,804","17,677","16,268","27,898","4,468","6,209","17,664","5,162","41,155","13,912","131,865","45,671","2,419","50,787","15,755","21,404","52,164","4,771","20,857","2,292","29,391","123,850","8,422","4,027","29,031","30,777","7,571","25,092","1,760","101,235"
total_050099_u19_private,"127,143","10,652","125,307","73,304","719,061","64,725","46,731","18,875","7,387","390,532","246,087","19,323","34,493","202,538","131,057","59,687","51,824","101,634","136,575","14,687","66,216","90,166","194,299","74,572","82,228","112,012","15,244","30,254","58,925","8,291","138,086","56,722","388,073","215,143","8,246","240,770","112,404","62,498","200,129","12,794","114,616","18,370","163,405","774,999","50,339","6,035","114,581","106,802","38,436","86,674","10,882","126,480"
