variable,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
total_u6_male_private,"176,722","29,639","241,846","108,462","1,286,384","191,008","112,528","32,173","24,232","699,028","383,463","45,573","71,152","408,833","250,193","112,518","102,284","165,298","173,765","35,750","213,584","212,930","321,735","197,706","101,050","217,909","34,102","75,296","105,042","37,658","320,351","63,687","634,825","370,074","28,087","402,597","147,192","124,607","412,504","35,561","170,469","35,724","257,414","1,166,218","143,128","17,018","292,510","259,096","53,260","193,214","17,529"
with_u6_male_private,"94,278","17,958","139,626","50,964","753,151","121,562","71,757","19,755","18,339","358,147","206,620","32,723","42,939","262,422","145,597","70,325","68,738","79,248","71,935","23,000","135,185","145,833","198,221","134,490","46,138","126,115","18,306","52,763","56,608","26,973","206,665","24,843","365,221","206,382","22,031","234,051","69,083","79,191","247,670","23,994","89,267","23,734","137,309","616,598","115,147","11,276","199,252","162,175","28,501","126,364","10,134"
no_u6_male_private,"82,444","11,681","102,220","57,498","533,233","69,446","40,771","12,418","5,893","340,881","176,843","12,850","28,213","146,411","104,596","42,193","33,546","86,050","101,830","12,750","78,399","67,097","123,514","63,216","54,912","91,794","15,796","22,533","48,434","10,685","113,686","38,844","269,604","163,692","6,056","168,546","78,109","45,416","164,834","11,567","81,202","11,990","120,105","549,620","27,981","5,742","93,258","96,921","24,759","66,850","7,395"
total_618_male_private,"428,525","67,498","618,592","272,942","3,301,152","468,090","282,674","82,819","43,091","1,688,286","989,319","113,854","185,329","1,052,282","618,618","278,350","272,117","381,860","403,635","99,015","516,279","521,880","821,905","496,580","268,040","528,035","92,640","183,111","266,015","100,259","767,427","176,300","1,515,040","906,914","67,950","998,284","376,547","319,538","1,021,049","75,909","442,924","85,312","588,760","2,896,238","364,400","46,754","731,612","636,305","139,281","486,932","51,089"
with_618_male_private,"244,376","41,194","361,564","140,169","1,910,651","318,291","183,284","52,216","27,146","970,364","571,166","80,042","124,648","681,325","392,887","190,227","187,608","218,225","196,848","64,481","346,169","369,539","543,744","355,791","132,851","336,457","56,268","130,086","164,560","73,543","511,915","72,361","919,557","524,254","55,326","644,163","199,263","201,178","651,211","50,617","251,253","59,780","346,500","1,624,546","285,235","29,461","508,389","410,626","81,264","342,808","35,287"
no_618_male_private,"184,149","26,304","257,028","132,773","1,390,501","149,799","99,390","30,603","15,945","717,922","418,153","33,812","60,681","370,957","225,731","88,123","84,509","163,635","206,787","34,534","170,110","152,341","278,161","140,789","135,189","191,578","36,372","53,025","101,455","26,716","255,512","103,939","595,483","382,660","12,624","354,121","177,284","118,360","369,838","25,292","191,671","25,532","242,260","1,271,692","79,165","17,293","223,223","225,679","58,017","144,124","15,802"
total_1925_male_private,"232,787","27,293","348,495","138,570","1,752,920","264,241","163,223","40,739","32,012","887,181","496,895","46,708","89,565","556,877","328,101","161,759","146,618","203,087","189,204","56,037","251,912","330,355","456,164","254,253","136,152","275,075","51,191","96,903","127,627","58,683","382,893","95,170","850,680","477,035","39,794","516,409","194,089","180,389","570,825","50,378","221,632","42,000","315,984","1,449,605","196,704","31,480","362,976","325,409","80,109","271,790","24,716"
with_1925_male_private,"169,496","17,151","229,351","91,120","1,109,748","196,390","113,474","27,288","23,289","608,563","345,838","34,314","64,863","403,061","238,561","124,986","113,876","138,234","113,503","40,328","183,006","255,055","334,351","198,080","90,721","204,411","35,855","74,031","84,210","49,073","274,016","50,705","582,033","333,592","33,806","378,704","122,387","124,052","432,257","40,515","161,676","32,727","231,058","920,048","161,720","23,970","272,944","232,645","56,772","212,879","18,007"
no_1925_male_private,"63,291","10,142","119,144","47,450","643,172","67,851","49,749","13,451","8,723","278,618","151,057","12,394","24,702","153,816","89,540","36,773","32,742","64,853","75,701","15,709","68,906","75,300","121,813","56,173","45,431","70,664","15,336","22,872","43,417","9,610","108,877","44,465","268,647","143,443","5,988","137,705","71,702","56,337","138,568","9,863","59,956","9,273","84,926","529,557","34,984","7,510","90,032","92,764","23,337","58,911","6,709"
total_2634_male_private,"268,163","46,511","457,273","171,475","2,539,193","419,094","202,578","54,644","59,103","1,226,743","640,094","74,283","115,313","749,340","394,536","179,923","162,926","259,047","247,173","74,390","337,227","434,347","594,509","332,588","137,976","354,684","65,098","113,493","201,807","81,372","528,345","120,734","1,208,679","605,177","52,682","685,312","230,326","268,445","736,793","68,303","281,527","50,317","423,370","1,906,911","230,508","34,287","482,664","526,974","89,285","335,465","33,365"
with_2634_male_private,"198,434","29,885","306,167","110,034","1,733,877","311,247","142,684","38,174","47,707","838,165","437,496","57,161","79,581","564,340","285,826","138,382","125,826","175,103","144,727","50,310","251,324","330,194","424,685","263,053","93,870","264,848","42,677","90,661","134,322","65,744","376,442","69,340","830,322","434,919","44,254","485,530","146,610","185,465","547,861","48,468","199,328","37,495","302,848","1,276,999","184,401","23,607","356,840","397,532","58,155","260,915","23,573"
no_2634_male_private,"69,729","16,626","151,106","61,441","805,316","107,847","59,894","16,470","11,396","388,578","202,598","17,122","35,732","185,000","108,710","41,541","37,100","83,944","102,446","24,080","85,903","104,153","169,824","69,535","44,106","89,836","22,421","22,832","67,485","15,628","151,903","51,394","378,357","170,258","8,428","199,782","83,716","82,980","188,932","19,835","82,199","12,822","120,522","629,912","46,107","10,680","125,824","129,442","31,130","74,550","9,792"
total_3544_male_private,"305,391","52,779","459,200","191,081","2,726,704","439,987","226,719","60,797","54,496","1,405,416","684,732","88,531","126,853","822,741","427,783","202,754","186,201","272,501","287,804","85,629","400,084","455,585","600,912","391,949","177,269","389,003","75,485","128,389","220,879","91,221","613,563","133,778","1,255,776","655,571","52,942","718,735","254,453","299,017","812,315","71,027","326,159","58,793","446,714","2,123,764","235,508","40,352","563,020","568,766","102,229","369,911","41,244"
with_3544_male_private,"229,619","37,694","328,983","138,439","1,954,243","339,469","168,864","43,813","47,280","1,011,349","502,570","73,198","95,472","639,374","322,582","161,057","148,156","191,724","194,493","63,121","309,104","356,282","446,244","314,279","125,447","306,109","53,352","104,509","156,705","74,305","462,882","83,118","888,854","484,532","46,033","537,123","175,393","225,638","638,244","54,822","239,065","46,940","330,514","1,510,463","190,689","30,433","442,963","445,170","70,380","301,287","31,571"
no_3544_male_private,"75,772","15,085","130,217","52,642","772,461","100,518","57,855","16,984","7,216","394,067","182,162","15,333","31,381","183,367","105,201","41,697","38,045","80,777","93,311","22,508","90,980","99,303","154,668","77,670","51,822","82,894","22,133","23,880","64,174","16,916","150,681","50,660","366,922","171,039","6,909","181,612","79,060","73,379","174,071","16,205","87,094","11,853","116,200","613,301","44,819","9,919","120,057","123,596","31,849","68,624","9,673"
total_4554_male_private,"292,027","42,240","419,093","171,974","2,391,052","360,055","213,886","53,993","35,196","1,337,727","663,766","80,693","113,381","764,907","404,705","182,956","162,610","270,522","249,907","81,682","368,796","409,952","583,910","338,146","166,931","349,511","63,240","110,815","199,287","83,274","583,990","117,083","1,149,506","646,866","40,057","688,505","224,991","261,821","748,223","60,128","301,874","49,974","418,320","1,826,466","193,135","38,749","509,745","470,218","107,939","345,751","32,188"
with_4554_male_private,"226,132","30,970","311,551","123,754","1,735,036","292,373","160,234","43,895","28,326","1,019,643","524,738","67,648","88,041","607,991","321,652","152,951","134,188","197,184","170,454","63,250","303,059","335,561","452,140","283,007","126,319","279,358","49,084","92,814","150,617","71,826","462,608","75,375","839,052","508,256","35,282","535,540","160,379","199,519","603,930","47,056","239,435","41,704","326,595","1,344,075","159,273","30,687","410,835","372,759","77,847","290,805","26,744"
no_4554_male_private,"65,895","11,270","107,542","48,220","656,016","67,682","53,652","10,098","6,870","318,084","139,028","13,045","25,340","156,916","83,053","30,005","28,422","73,338","79,453","18,432","65,737","74,391","131,770","55,139","40,612","70,153","14,156","18,001","48,670","11,448","121,382","41,708","310,454","138,610","4,775","152,965","64,612","62,302","144,293","13,072","62,439","8,270","91,725","482,391","33,862","8,062","98,910","97,459","30,092","54,946","5,444"
total_5564_male_private,"303,609","44,005","421,089","180,336","2,291,167","329,257","244,215","65,962","30,456","1,438,758","633,811","86,548","108,968","768,008","409,267","194,900","166,548","277,436","263,392","99,471","386,669","454,402","648,212","361,773","168,805","378,256","69,407","114,454","195,486","105,367","603,880","121,527","1,244,634","651,012","43,965","733,532","223,543","246,752","838,891","72,932","329,945","56,360","430,752","1,612,817","153,663","44,893","527,189","453,383","113,556","395,468","34,206"
with_5564_male_private,"226,954","29,828","308,966","119,976","1,655,580","256,717","192,748","51,275","19,883","1,103,337","488,417","68,997","85,836","590,910","312,908","154,036","134,646","190,772","182,976","75,744","311,454","360,918","488,482","291,810","121,986","289,330","51,513","95,548","147,925","87,153","493,457","80,771","895,498","503,853","36,286","559,423","156,123","183,968","666,396","57,112","253,335","45,865","323,850","1,223,057","127,430","34,212","429,702","355,713","78,097","321,225","27,231"
no_5564_male_private,"76,655","14,177","112,123","60,360","635,587","72,540","51,467","14,687","10,573","335,421","145,394","17,551","23,132","177,098","96,359","40,864","31,902","86,664","80,416","23,727","75,215","93,484","159,730","69,963","46,819","88,926","17,894","18,906","47,561","18,214","110,423","40,756","349,136","147,159","7,679","174,109","67,420","62,784","172,495","15,820","76,610","10,495","106,902","389,760","26,233","10,681","97,487","97,670","35,459","74,243","6,975"
total_6574_male_private,"253,428","33,512","374,026","146,319","1,702,484","274,897","183,270","61,214","22,047","1,225,435","466,502","79,088","100,705","598,741","325,254","167,223","145,894","224,076","220,517","89,802","282,510","347,902","544,378","293,615","141,849","310,607","68,138","95,467","157,406","84,409","441,160","116,015","959,421","518,884","38,358","610,150","185,926","230,961","703,532","57,165","283,607","51,129","343,145","1,176,445","122,249","41,576","403,100","379,204","105,737","331,001","35,006"
with_6574_male_private,"144,129","20,001","175,764","71,310","797,978","126,930","93,137","36,247","11,808","542,601","233,218","53,089","51,483","310,658","167,968","91,316","80,342","117,188","107,839","42,894","193,140","206,513","317,439","177,045","65,622","148,754","34,625","53,023","72,512","47,532","254,169","60,238","513,030","255,605","23,597","308,531","96,894","116,587","391,886","31,352","153,082","29,146","173,400","549,668","63,417","23,514","241,121","205,800","57,761","170,781","18,460"
no_6574_male_private,"109,299","13,511","198,262","75,009","904,506","147,967","90,133","24,967","10,239","682,834","233,284","25,999","49,222","288,083","157,286","75,907","65,552","106,888","112,678","46,908","89,370","141,389","226,939","116,570","76,227","161,853","33,513","42,444","84,894","36,877","186,991","55,777","446,391","263,279","14,761","301,619","89,032","114,374","311,646","25,813","130,525","21,983","169,745","626,777","58,832","18,062","161,979","173,404","47,976","160,220","16,546"
total_o75_male_private,"152,120","16,262","282,405","94,007","1,102,739","155,791","119,683","36,867","14,150","966,911","269,431","57,833","59,210","361,668","190,642","97,750","86,574","130,398","123,165","53,752","176,862","214,849","322,222","171,942","79,931","188,932","40,715","57,501","102,074","47,379","273,991","75,013","610,274","315,546","22,555","355,542","112,448","144,691","430,724","34,594","174,386","25,946","205,194","681,989","71,744","24,409","256,263","226,917","67,289","188,324","18,676"
with_o75_male_private,"94,382","11,591","153,138","50,351","557,300","88,591","68,779","27,043","9,476","505,745","148,972","42,288","36,852","213,133","112,196","62,125","54,242","79,371","68,500","32,424","123,582","141,362","233,393","120,201","44,313","106,364","25,576","33,771","50,667","31,489","164,433","42,117","348,435","193,106","16,483","205,511","70,174","84,635","274,931","20,733","113,061","16,104","118,455","359,190","41,725","15,275","170,338","139,525","42,300","114,540","12,830"
no_o75_male_private,"57,738","4,671","129,267","43,656","545,439","67,200","50,904","9,824","4,674","461,166","120,459","15,545","22,358","148,535","78,446","35,625","32,332","51,027","54,665","21,328","53,280","73,487","88,829","51,741","35,618","82,568","15,139","23,730","51,407","15,890","109,558","32,896","261,839","122,440","6,072","150,031","42,274","60,056","155,793","13,861","61,325","9,842","86,739","322,799","30,019","9,134","85,925","87,392","24,989","73,784","5,846"
total_u6_female_private,"175,216","24,590","231,330","106,566","1,221,474","177,144","105,376","32,647","21,925","657,760","368,469","46,173","64,586","395,603","234,934","108,641","102,323","152,366","159,687","36,662","206,594","198,223","316,230","191,688","98,134","202,228","32,794","68,620","103,870","36,907","305,355","61,979","608,233","348,298","28,609","387,218","144,232","117,683","393,175","30,937","174,460","31,138","242,115","1,123,204","137,249","15,924","277,522","245,442","50,075","179,941","20,061"
with_u6_female_private,"89,671","13,215","139,224","49,575","743,886","115,180","64,120","18,369","16,615","348,323","198,010","30,358","39,080","252,455","134,337","66,128","68,480","78,994","72,887","23,304","132,597","129,159","195,413","132,603","47,309","118,020","18,596","48,675","59,208","24,860","189,374","24,887","352,443","191,888","21,398","226,003","66,053","71,843","230,382","20,342","90,785","19,774","130,409","579,885","109,355","9,830","182,979","148,039","26,570","117,802","11,031"
