,state,value,age,gender,level
0,Alabama,0.5334819660257354,u6,male,private
1,Alaska,0.605890887006984,u6,male,private
2,Arizona,0.5773343367266773,u6,male,private
3,Arkansas,0.469878851579355,u6,male,private
4,California,0.5854791415316111,u6,male,private
5,Colorado,0.6364236052940191,u6,male,private
6,Connecticut,0.6376812882127115,u6,male,private
7,Delaware,0.6140241817673204,u6,male,private
8,District of Columbia,0.756809177946517,u6,male,private
9,Florida,0.512350006008343,u6,male,private
10,Georgia,0.5388264317548238,u6,male,private
11,Hawaii,0.7180348013077918,u6,male,private
12,Idaho,0.6034826849561502,u6,male,private
13,Illinois,0.6418806701024624,u6,male,private
14,Indiana,0.58193874329018,u6,male,private
15,Iowa,0.6250111093336177,u6,male,private
16,Kansas,0.67203081615893,u6,male,private
17,Kentucky,0.4794250384154678,u6,male,private
18,Louisiana,0.4139786493252381,u6,male,private
19,Maine,0.6433566433566433,u6,male,private
20,Maryland,0.6329359877144355,u6,male,private
21,Massachusetts,0.6848870520828442,u6,male,private
22,Michigan,0.6161002066918426,u6,male,private
23,Minnesota,0.6802524961306182,u6,male,private
24,Mississippi,0.45658584858980705,u6,male,private
25,Missouri,0.578750762933151,u6,male,private
26,Montana,0.5368013606240103,u6,male,private
27,Nebraska,0.7007410752231195,u6,male,private
28,Nevada,0.5389082462253194,u6,male,private
29,New Hampshire,0.7162621488130012,u6,male,private
30,New Jersey,0.6451205084423024,u6,male,private
31,New Mexico,0.3900796080832823,u6,male,private
32,New York,0.5753097310282361,u6,male,private
33,North Carolina,0.5576776536584575,u6,male,private
34,North Dakota,0.784384234699327,u6,male,private
35,Ohio,0.581353065224033,u6,male,private
36,Oklahoma,0.46933936626990597,u6,male,private
37,Oregon,0.6355260940396606,u6,male,private
38,Pennsylvania,0.6004062990904331,u6,male,private
39,Rhode Island,0.6747279322853688,u6,male,private
40,South Carolina,0.523655327361573,u6,male,private
41,South Dakota,0.6643712910088456,u6,male,private
42,Tennessee,0.5334169858671246,u6,male,private
43,Texas,0.5287159004577189,u6,male,private
44,Utah,0.8045036610586328,u6,male,private
45,Vermont,0.6625925490656951,u6,male,private
46,Virginia,0.6811801305938259,u6,male,private
47,Washington,0.6259262975885386,u6,male,private
48,West Virginia,0.5351295531355614,u6,male,private
49,Wisconsin,0.6540105789435549,u6,male,private
50,Wyoming,0.5781276741399966,u6,male,private
