variable,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Puerto Rico
total_u6_white,"199,092","24,689","216,716","130,865","764,079","214,951","112,274","29,078","14,121","615,441","320,285","13,417","103,244","429,999","327,999","166,942","141,835","239,524","160,492","61,375","163,689","216,507","416,860","254,087","96,566","294,745","53,228","98,317","70,572","59,067","279,368","53,544","596,464","361,903","40,960","536,842","149,060","147,833","506,971","33,938","189,396","47,561","310,917","941,793","203,963","28,142","294,758","269,015","86,258","255,747","30,094","29,133"
with_u6_white,"195,769","23,894","204,242","125,194","746,535","207,996","109,462","28,342","14,121","581,596","306,358","13,327","97,551","419,204","308,613","159,982","136,511","231,309","155,825","58,834","159,368","214,500","402,925","247,558","92,632","279,670","49,907","96,666","68,395","56,793","273,475","51,120","580,078","352,899","39,666","507,076","141,023","142,672","474,122","33,232","180,691","44,457","298,463","870,593","196,382","26,998","283,361","263,359","83,359","242,812","27,506","28,468"
no_u6_white,"3,323",795,"12,474","5,671","17,544","6,955","2,812",736,0,"33,845","13,927",90,"5,693","10,795","19,386","6,960","5,324","8,215","4,667","2,541","4,321","2,007","13,935","6,529","3,934","15,075","3,321","1,651","2,177","2,274","5,893","2,424","16,386","9,004","1,294","29,766","8,037","5,161","32,849",706,"8,705","3,104","12,454","71,200","7,581","1,144","11,397","5,656","2,899","12,935","2,588",665
total_618_white,"492,226","62,325","554,304","319,108","1,929,704","568,300","301,579","73,416","20,227","1,511,873","817,384","31,667","275,367","1,086,755","828,055","425,445","360,064","576,621","393,525","160,542","410,203","594,818","1,067,000","644,778","254,382","734,028","139,654","251,354","201,210","159,959","681,271","130,502","1,453,368","895,121","102,147","1,344,429","397,916","409,452","1,290,338","89,461","478,453","118,056","739,427","2,339,394","538,690","77,901","751,279","682,754","239,818","667,043","76,578","99,548"
with_618_white,"476,917","59,503","515,371","301,505","1,877,145","550,024","296,547","70,098","20,138","1,406,290","776,896","31,027","262,146","1,056,708","780,737","414,868","342,738","560,220","383,136","154,021","399,246","587,255","1,036,482","628,086","236,951","695,410","131,871","243,767","190,210","154,654","661,096","124,792","1,420,087","859,663","98,072","1,283,219","372,023","396,507","1,229,973","87,274","448,480","112,270","707,194","2,099,549","508,790","76,835","722,376","660,279","233,268","641,290","72,150","97,816"
no_618_white,"15,309","2,822","38,933","17,603","52,559","18,276","5,032","3,318",89,"105,583","40,488",640,"13,221","30,047","47,318","10,577","17,326","16,401","10,389","6,521","10,957","7,563","30,518","16,692","17,431","38,618","7,783","7,587","11,000","5,305","20,175","5,710","33,281","35,458","4,075","61,210","25,893","12,945","60,365","2,187","29,973","5,786","32,233","239,845","29,900","1,066","28,903","22,475","6,550","25,753","4,428","1,732"
total_1925_white,"284,382","27,118","337,556","173,294","1,133,015","343,863","184,267","42,685","30,191","867,822","467,848","15,295","144,627","591,886","466,345","249,592","199,731","317,787","201,747","95,234","216,535","422,086","628,750","354,043","135,784","411,524","80,704","139,386","105,839","98,891","368,928","73,928","892,711","545,609","64,510","747,014","221,965","234,121","774,677","65,044","265,032","60,597","434,634","1,254,785","303,601","52,594","412,979","369,094","133,747","403,020","39,730","66,264"
with_1925_white,"253,147","22,383","299,122","150,499","1,059,308","318,216","174,113","39,056","29,677","739,317","400,926","13,811","128,987","552,527","427,387","230,973","178,686","289,666","184,248","88,562","206,646","409,293","591,309","333,739","116,301","363,565","70,317","126,869","94,321","91,656","350,737","65,128","847,006","493,629","59,385","683,853","188,397","214,550","721,190","63,528","236,350","54,338","388,488","1,003,769","280,866","50,092","384,763","341,699","118,754","377,031","33,060","64,742"
no_1925_white,"31,235","4,735","38,434","22,795","73,707","25,647","10,154","3,629",514,"128,505","66,922","1,484","15,640","39,359","38,958","18,619","21,045","28,121","17,499","6,672","9,889","12,793","37,441","20,304","19,483","47,959","10,387","12,517","11,518","7,235","18,191","8,800","45,705","51,980","5,125","63,161","33,568","19,571","53,487","1,516","28,682","6,259","46,146","251,016","22,735","2,502","28,216","27,395","14,993","25,989","6,670","1,522"
total_2634_white,"353,638","55,477","472,379","229,237","1,731,760","565,375","238,121","61,648","65,516","1,240,053","611,462","31,986","177,321","860,938","588,156","283,759","239,106","420,091","279,516","133,599","318,308","541,227","816,060","474,886","163,908","529,675","106,790","163,255","178,316","134,956","521,086","107,324","1,257,676","733,761","77,759","1,010,210","291,039","369,900","1,030,617","87,054","364,971","76,479","601,519","1,726,488","337,883","61,039","567,301","620,536","159,197","500,068","54,277","78,373"
with_2634_white,"309,913","48,696","414,106","198,862","1,609,027","517,184","220,040","56,648","64,746","1,036,029","505,083","30,149","153,172","797,117","526,387","264,447","212,212","387,098","245,939","116,470","301,790","521,409","754,744","449,013","138,243","464,399","94,182","150,894","153,938","124,228","489,093","95,666","1,185,292","640,323","73,448","903,518","244,421","340,310","946,444","81,809","311,059","69,426","517,511","1,393,109","307,920","56,569","521,390","567,642","141,911","464,672","44,942","70,915"
no_2634_white,"43,725","6,781","58,273","30,375","122,733","48,191","18,081","5,000",770,"204,024","106,379","1,837","24,149","63,821","61,769","19,312","26,894","32,993","33,577","17,129","16,518","19,818","61,316","25,873","25,665","65,276","12,608","12,361","24,378","10,728","31,993","11,658","72,384","93,438","4,311","106,692","46,618","29,590","84,173","5,245","53,912","7,053","84,008","333,379","29,963","4,470","45,911","52,894","17,286","35,396","9,335","7,458"
