,state,value,age,level
0,Alabama,0.9833092238763989,u6,white
1,Alaska,0.9677994248450728,u6,white
2,Arizona,0.942440798095203,u6,white
3,Arkansas,0.9566652657318611,u6,white
4,California,0.9770390234517635,u6,white
5,Colorado,0.967643788584375,u6,white
6,Connecticut,0.9749541300746388,u6,white
7,Delaware,0.9746887681408625,u6,white
8,District of Columbia,1.0,u6,white
9,Florida,0.9450069137415285,u6,white
10,Georgia,0.9565168521785284,u6,white
11,Hawaii,0.9932920921219348,u6,white
12,Idaho,0.9448587811398241,u6,white
13,Illinois,0.9748952904541639,u6,white
14,Indiana,0.9408961612687844,u6,white
15,Iowa,0.9583088737405806,u6,white
16,Kansas,0.9624634258116825,u6,white
17,Kentucky,0.9657028105743057,u6,white
18,Louisiana,0.9709206689430002,u6,white
19,Maine,0.9585987780040733,u6,white
20,Maryland,0.9736023801232826,u6,white
21,Massachusetts,0.9907300918676994,u6,white
22,Michigan,0.96657151081898,u6,white
23,Minnesota,0.9743040769500211,u6,white
24,Mississippi,0.959261023548661,u6,white
25,Missouri,0.948854094217035,u6,white
26,Montana,0.9376080258510558,u6,white
27,Nebraska,0.9832073802089161,u6,white
28,Nevada,0.9691520716431445,u6,white
29,New Hampshire,0.961501345929199,u6,white
30,New Jersey,0.9789059591649724,u6,white
31,New Mexico,0.9547288211564321,u6,white
32,New York,0.9725280989296923,u6,white
33,North Carolina,0.9751204051914464,u6,white
34,North Dakota,0.968408203125,u6,white
35,Ohio,0.9445535185399055,u6,white
36,Oklahoma,0.946082114584731,u6,white
37,Oregon,0.9650889855444995,u6,white
38,Pennsylvania,0.9352053667764034,u6,white
39,Rhode Island,0.979197359891567,u6,white
40,South Carolina,0.9540381000654713,u6,white
41,South Dakota,0.9347364437249006,u6,white
42,Tennessee,0.959944293814748,u6,white
43,Texas,0.9243995230374403,u6,white
44,Utah,0.9628314939474316,u6,white
45,Vermont,0.9593490157060621,u6,white
46,Virginia,0.9613343827818075,u6,white
47,Washington,0.9789751500845678,u6,white
48,West Virginia,0.9663915231051033,u6,white
49,Wisconsin,0.9494226716246916,u6,white
50,Wyoming,0.9140027912540706,u6,white
51,Puerto Rico,0.9771736518724471,u6,white
52,Alabama,0.9688984328336984,618,white
53,Alaska,0.9547212194143602,618,white
54,Arizona,0.9297623686641265,618,white
55,Arkansas,0.9448368577409529,618,white
56,California,0.9727631802597704,618,white
57,Colorado,0.9678409290867499,618,white
58,Connecticut,0.9833144880777508,618,white
59,Delaware,0.9548054919908466,618,white
60,District of Columbia,0.9955999406733574,618,white
61,Florida,0.9301641076995224,618,white
62,Georgia,0.9504663658696525,618,white
63,Hawaii,0.9797896864243534,618,white
64,Idaho,0.9519877109457561,618,white
65,Illinois,0.9723516339929423,618,white
66,Indiana,0.9428564527718569,618,white
67,Iowa,0.9751389721350586,618,white
68,Kansas,0.9518807767507999,618,white
69,Kentucky,0.9715567070918333,618,white
70,Louisiana,0.973600152468077,618,white
71,Maine,0.9593813456914702,618,white
72,Maryland,0.9732888350402118,618,white
73,Massachusetts,0.9872851863931489,618,white
74,Michigan,0.971398313027179,618,white
75,Minnesota,0.9741120199510529,618,white
76,Mississippi,0.9314770699184691,618,white
77,Missouri,0.9473889279428033,618,white
78,Montana,0.9442694086814556,618,white
79,Nebraska,0.9698154793637659,618,white
80,Nevada,0.9453307489687391,618,white
81,New Hampshire,0.9668352515332054,618,white
82,New Jersey,0.9703862339656318,618,white
83,New Mexico,0.9562458812891756,618,white
84,New York,0.9771007755778303,618,white
85,North Carolina,0.9603874783409171,618,white
86,North Dakota,0.9601065131624033,618,white
87,Ohio,0.9544713778116956,618,white
88,Oklahoma,0.9349284773670825,618,white
89,Oregon,0.9683845725506286,618,white
90,Pennsylvania,0.9532176840486756,618,white
91,Rhode Island,0.9755535931858575,618,white
92,South Carolina,0.9373543482849935,618,white
93,South Dakota,0.9509893609812292,618,white
94,Tennessee,0.9564081376525336,618,white
95,Texas,0.8974755855576273,618,white
96,Utah,0.944494978559097,618,white
97,Vermont,0.9863159651352358,618,white
98,Virginia,0.961528273783774,618,white
99,Washington,0.9670818479276577,618,white
100,West Virginia,0.9726876214462634,618,white
101,Wisconsin,0.9613922940500088,618,white
102,Wyoming,0.9421766042466505,618,white
103,Puerto Rico,0.9826013581387874,618,white
104,Alabama,0.8901653409850131,1925,white
105,Alaska,0.8253927280772918,1925,white
106,Arizona,0.8861403737453933,1925,white
107,Arkansas,0.8684605352753125,1925,white
108,California,0.9349461392832399,1925,white
109,Colorado,0.9254150635572888,1925,white
110,Connecticut,0.9448951792778957,1925,white
111,Delaware,0.9149818437390184,1925,white
112,District of Columbia,0.9829750587923554,1925,white
113,Florida,0.8519223988329404,1925,white
114,Georgia,0.8569578153588345,1925,white
115,Hawaii,0.9029748283752861,1925,white
116,Idaho,0.8918597495626681,1925,white
117,Illinois,0.9335023974211251,1925,white
118,Indiana,0.9164609891818289,1925,white
119,Iowa,0.9254022564825796,1925,white
120,Kansas,0.8946332817639725,1925,white
121,Kentucky,0.911509910726367,1925,white
122,Louisiana,0.913262650745736,1925,white
123,Maine,0.9299409874624609,1925,white
124,Maryland,0.9543307086614173,1925,white
125,Massachusetts,0.9696910108366541,1925,white
126,Michigan,0.9404516898608349,1925,white
127,Minnesota,0.9426510339139597,1925,white
128,Mississippi,0.8565147587344606,1925,white
129,Missouri,0.8834600169127439,1925,white
130,Montana,0.8712951030927835,1925,white
131,Nebraska,0.9101990156830672,1925,white
132,Nevada,0.8911743308232315,1925,white
133,New Hampshire,0.9268386405234046,1925,white
134,New Jersey,0.950692275999653,1925,white
135,New Mexico,0.8809652634996212,1925,white
136,New York,0.9488020199146197,1925,white
137,North Carolina,0.9047303105337339,1925,white
138,North Dakota,0.9205549527205085,1925,white
139,Ohio,0.915448706449946,1925,white
140,Oklahoma,0.8487689500596941,1925,white
141,Oregon,0.9164064735756297,1925,white
142,Pennsylvania,0.9309557402633614,1925,white
143,Rhode Island,0.9766927003259332,1925,white
144,South Carolina,0.8917791059192852,1925,white
145,South Dakota,0.8967110583032163,1925,white
146,Tennessee,0.8938279103797678,1925,white
147,Texas,0.7999529799925884,1925,white
148,Utah,0.925115529922497,1925,white
149,Vermont,0.9524280336160018,1925,white
150,Virginia,0.9316769133539478,1925,white
151,Washington,0.9257777151619913,1925,white
152,West Virginia,0.8879002893522845,1925,white
153,Wisconsin,0.9355143665326783,1925,white
154,Wyoming,0.8321167883211679,1925,white
155,Puerto Rico,0.9770312688639382,1925,white
156,Alabama,0.8763566132598872,2634,white
157,Alaska,0.8777691656001586,2634,white
158,Arizona,0.8766393086906912,2634,white
159,Arkansas,0.8674952123784555,2634,white
160,California,0.9291281701852451,2634,white
161,Colorado,0.914762768074287,2634,white
162,Connecticut,0.924068015840686,2634,white
163,Delaware,0.9188943680249156,2634,white
164,District of Columbia,0.9882471457353929,2634,white
165,Florida,0.8354715483934961,2634,white
166,Georgia,0.8260251659138262,2634,white
167,Hawaii,0.9425686237729006,2634,white
168,Idaho,0.8638119568466228,2634,white
169,Illinois,0.9258703878792666,2634,white
170,Indiana,0.8949785431076109,2634,white
171,Iowa,0.9319422467657413,2634,white
172,Kansas,0.8875226886820071,2634,white
173,Kentucky,0.9214622546067399,2634,white
174,Louisiana,0.8798744973454113,2634,white
175,Maine,0.8717879624847491,2634,white
176,Maryland,0.9481068650489463,2634,white
177,Massachusetts,0.963383201503251,2634,white
178,Michigan,0.924863367889616,2634,white
179,Minnesota,0.9455174505039105,2634,white
180,Mississippi,0.8434182590233545,2634,white
181,Missouri,0.8767621654788313,2634,white
182,Montana,0.8819365109092612,2634,white
183,Nebraska,0.9242840954335242,2634,white
184,Nevada,0.8632876466497679,2634,white
185,New Hampshire,0.9205074246421056,2634,white
186,New Jersey,0.9386032248035833,2634,white
187,New Mexico,0.8913756475718385,2634,white
188,New York,0.9424462262140647,2634,white
189,North Carolina,0.872658808522121,2634,white
190,North Dakota,0.9445594722154349,2634,white
191,Ohio,0.8943863157165342,2634,white
192,Oklahoma,0.8398221544191672,2634,white
193,Oregon,0.9200054068667207,2634,white
194,Pennsylvania,0.9183275649441063,2634,white
195,Rhode Island,0.9397500402049302,2634,white
196,South Carolina,0.8522841540834751,2634,white
197,South Dakota,0.9077786058918135,2634,white
198,Tennessee,0.8603402386292037,2634,white
199,Texas,0.8069033784190797,2634,white
200,Utah,0.911321374558649,2634,white
201,Vermont,0.9267681318501286,2634,white
202,Virginia,0.9190711809074901,2634,white
203,Washington,0.9147607874482705,2634,white
204,West Virginia,0.8914175518382884,2634,white
205,Wisconsin,0.9292176264028092,2634,white
206,Wyoming,0.8280118650625495,2634,white
207,Puerto Rico,0.9048396769295548,2634,white
208,Alabama,0.8821262006201629,3544,white
209,Alaska,0.9215423836838751,3544,white
210,Arizona,0.9157713586261642,3544,white
211,Arkansas,0.9073790192121035,3544,white
212,California,0.9470059079340574,3544,white
213,Colorado,0.9337446023046962,3544,white
214,Connecticut,0.9587020539699591,3544,white
215,Delaware,0.9413291720748443,3544,white
216,District of Columbia,0.9912317809483521,3544,white
217,Florida,0.8624270222170777,3544,white
218,Georgia,0.8693330329627801,3544,white
219,Hawaii,0.9708143651997977,3544,white
220,Idaho,0.8975561433130654,3544,white
221,Illinois,0.9428683529664311,3544,white
222,Indiana,0.9190839177109962,3544,white
